127.0.0.1 - - [03/Dec/2019:08:42:33 +0530] "GET / HTTP/1.1" 404 709
127.0.0.1 - - [03/Dec/2019:08:42:36 +0530] "GET /spring1939/ HTTP/1.1" 200 216
127.0.0.1 - - [03/Dec/2019:08:42:38 +0530] "GET /spring1939/refral HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:42:38 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:43:51 +0530] "GET /spring1939/addData?name=vicky&lname=higole&cnno=344135475&mailid=h%40a&date=19%2F7%2F95&city=pune&btn=Adddata HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:43:51 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:43:59 +0530] "GET /spring1939/rview HTTP/1.1" 200 2550
127.0.0.1 - - [03/Dec/2019:08:43:59 +0530] "GET /spring1939/rview HTTP/1.1" 200 2550
127.0.0.1 - - [03/Dec/2019:08:45:16 +0530] "GET /spring1939/rview HTTP/1.1" 200 2550
127.0.0.1 - - [03/Dec/2019:08:45:36 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:36 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:38 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:39 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:39 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:39 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:39 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:39 +0530] "GET /spring1939/addData?name=&lname=&cnno=&mailid=&date=&city= HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:08:45:39 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:08:45:40 +0530] "GET /spring1939/rview HTTP/1.1" 200 2550
127.0.0.1 - - [03/Dec/2019:08:45:45 +0530] "GET /spring1939/ HTTP/1.1" 200 216
127.0.0.1 - - [03/Dec/2019:08:46:32 +0530] "GET /spring1939/rview HTTP/1.1" 200 2550
127.0.0.1 - - [03/Dec/2019:09:24:16 +0530] "GET /spring1939/refral HTTP/1.1" 302 -
127.0.0.1 - - [03/Dec/2019:09:24:16 +0530] "GET /spring1939/form HTTP/1.1" 200 991
127.0.0.1 - - [03/Dec/2019:09:24:26 +0530] "GET /spring1939/rview HTTP/1.1" 200 2550
